provincia|calle|nombre_calle|cod_2024
2|5|1 DE MAYO|17121
2|10|11 DE SEPTIEMBRE DE 1888|16025
2|6765|JOSE LEON PAGANO|12132
2|15|12 DE OCTUBRE|4080
2|7965|MARCHI|16025
2|9460|PASAJE MARCOARTU|13031
2|20|14 DE JULIO|3102
2|25|15 DE NOVIEMBRE DE 1889|18009
2|35|2 DE ABRIL DE 1982|4115
2|40|20 DE FEBRERO|23022
2|45|20 DE SEPTIEMBRE|23023
2|50|24 DE NOVIEMBRE|23025
2|55|25 DE MAYO|23024
2|955|AV 27 DE FEBRERO|23026
2|3263|CAMINO DE SIRGA|
2|60|3 DE FEBRERO|21050
2|65|5 DE JULIO|3270
2|960|AV 9 DE JULIO|14029
2|80|ACASSUSO|1001
2|9105|PASAJE VALLE|1174
2|160|ACEVEDO|1003
2|4825|EDUARDO ACEVEDO|1004
2|6995|JUANA DE IBARBOUROU|1004
2|7995|MARIANO ACHA|1009
2|165|ACHALA|1010
2|170|ACHAVAL|1011
2|1280|AV DR T ACHAVAL RODRIGUEZ|1155
2|9090|PASAJE PARTICULAR (FLORESTA)|
2|175|ACHEGA|1012
2|180|ACHIRA|1013
2|185|ACHUPALLAS|1014
2|155|ACCESO WILSON|
2|153|ACCESO MAIPU|
2|190|ACONCAGUA|1005
2|8005|MARIANO ACOSTA|1006
2|965|AV ACOYTE|1007
2|5600|FRANCISCO ACUÑA DE FIGUEROA|1008
2|215|AGACES|1015
2|4665|DR LUIS AGOTE|1016
2|9190|PEDRO AGOTE|1017
2|230|AGRELO|1018
2|235|AGUARIBAY|1020
2|240|AGUAS BUENAS|1021
2|245|AGUERO|1022
2|250|AGUILAR|1023
2|255|AGUIRRE|1024
2|7035|JULIAN AGUIRRE|1025
2|9080|PASAJE PARTICULAR|
2|295|AIZPURUA|1026
2|300|ALAGON|1027
2|305|ALBANIA|1028
2|975|AV ALBARELLOS|1029
2|310|ALBARINO|1030
2|315|ALBARRACIN|1031
2|9155|PAULA ALBARRACIN DE SARMIENTO|1032
2|1480|AV JUAN BAUTISTA ALBERDI|1033
2|320|ALBERTI|1034
2|340|ALCARAZ|1035
2|1005|AV AMANCIO ALCORTA|1036
2|1515|AV LEANDRO N ALEM|1037
2|365|ALEMANIA|1038
2|370|ALFARERO|1039
2|410|ALGARROBO|1040
2|415|ALICANTE|1041
2|425|ALLENDE|1064
2|980|AV ALMAFUERTE|1042
2|430|ALMAGRO|1043
2|435|ALPATACAL|1045
2|195|ADOLFO ALSINA|1046
2|1780|AV VALENTIN ALSINA|1047
2|440|ALTA GRACIA|1048
2|480|ALTOLAGUIRRE|1049
2|485|ALVAR NUNEZ|1050
2|490|ALVARADO|1051
