provincia|partido|localidad|nombre_localidad|cod_2024
06|007|010|CARHUE|
06|007|020|COLONIA SAN MIGUEL ARCANGEL|
06|007|030|DELFIN HUERGO|
06|007|040|ESPARTILLAR|
06|007|050|ESTEBAN AGUSTIN GASCON - VILLA MARGARITA|
06|007|060|LA PALA|
06|007|070|MAZA|
06|007|080|RIVERA|
06|007|095|LEUBUCO|
06|007|110|YUTUYACO|
06|014|010|ADOLFO GONZALES CHAVES|
06|014|020|DE LA GARMA|
06|014|030|JUAN E. BARRA|
06|014|040|VASQUEZ|
06|021|010|ALBERTI|
06|021|020|CORONEL SEGUI|
06|021|030|MECHITA|
06|021|040|PLA|
06|021|050|ACHUPALLAS|
06|021|060|VILLA MARIA|
06|021|070|CORONEL MOM|
06|028|010|ALMIRANTE BROWN|
06|035|010|AVELLANEDA|
06|042|010|AYACUCHO|
06|042|020|LA CONSTANCIA|
06|042|030|SOLANET|
06|042|040|UDAQUIOLA|
06|049|010|ARIEL|
06|049|020|AZUL|
06|049|030|CACHARI|
06|049|040|CHILLAR|
06|049|050|16 DE JULIO|
06|049|060|PARISH|
06|056|010|BAHIA BLANCA|
06|056|020|CABILDO|
06|056|030|GENERAL DANIEL CERRI|
06|063|010|BALCARCE|
06|063|020|LOS PINOS|
06|063|030|NAPALEOFU|
06|063|040|RAMOS OTERO|
06|063|050|SAN AGUSTIN|
06|063|060|VILLA LAGUNA LA BRAVA|
06|070|010|BARADERO|
06|070|020|IRINEO PORTELA|
06|070|030|SANTA COLOMA|
06|070|040|VILLA ALSINA|
06|070|050|QUEBRADAS|
06|077|010|ARRECIFES|
06|077|030|VI├æA|
06|084|020|BENITO JUAREZ|
06|084|030|LOPEZ|
06|084|040|TEDIN URIBURU|
06|084|050|VILLA CACIQUE - BARKER|
06|091|010|BERAZATEGUI|
06|098|010|BERISSO|
06|105|010|HALE|
06|105|020|JUAN F. IBARRA|
06|105|040|PAULA|
06|105|050|PIROVANO|
06|105|060|SAN CARLOS DE BOLIVAR|
06|105|070|URDAMPILLETA|
06|105|080|VILLA LYNCH PUEYRREDON|
06|112|010|ASAMBLEA|
06|112|020|BRAGADO|
06|112|030|COMODORO PY|
06|112|040|EDUARDO O'BRIEN|
06|112|050|IRALA|
06|112|060|JUAN F. SALABERRY|
06|112|070|LA LIMPIA|
06|112|080|MECHITA|
06|112|090|OLASCOAGA|
06|112|100|WARNES|
06|119|010|ALTAMIRANO|
06|119|015|BARRIO EL MIRADOR|
06|119|020|BARRIO LAS GOLONDRINAS|
06|119|030|BARRIO LOS BOSQUECITOS|
06|119|040|BARRIO PARQUE LAS ACACIAS|
06|119|045|CAMPOS DE ROCA - POSADA DE LOS LAGOS|
06|119|050|BRANDSEN|
06|119|060|GOMEZ|
06|119|070|JEPPENER|
06|119|080|OLIDEN|
06|126|020|BARRIO LOS PIONEROS (BARRIO TAVELLA)|
06|126|030|CAMPANA|
06|134|020|BARRIO EL TALADRO|
06|134|030|CA├æUELAS|
06|134|040|GOBERNADOR UDAONDO|
06|134|050|MAXIMO PAZ|
06|134|060|BARRIO SAN ESTEBAN - BARRIO LOS POZOS|
06|134|070|URIBELARREA|
06|134|100|CHACRAS DE LA TRINIDAD|
06|140|010|CAPITAN SARMIENTO|
06|140|020|LA LUISA|
06|147|010|BELLOCQ|
06|147|020|CADRET|
06|147|030|CARLOS CASARES|
06|147|040|COLONIA MAURICIO|
06|147|050|HORTENSIA|
06|147|060|LA SOFIA|
06|147|070|MAURICIO HIRSCH|
06|147|080|MOCTEZUMA|
06|147|090|ORDOQUI|
06|147|095|SANTO TOMAS|
06|147|100|SMITH|
06|154|010|CARLOS TEJEDOR|
06|154|020|COLONIA SERE|
06|154|030|CURARU|
06|154|040|TIMOTE|
06|154|050|TRES ALGARROBOS|
06|161|010|CARMEN DE ARECO|
06|161|020|PUEBLO GOUIN|
06|161|030|TRES SARGENTOS|
06|168|010|CASTELLI|
06|168|020|CENTRO GUERRERO|
06|168|030|CERRO DE LA GLORIA|
06|175|010|COLON|
